case,type,block_size,replace,write_allocate,write_policy,hit,miss,rate,meta,layout_meta,replace_meta,write_meta
astar,DIRECT,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384144,117324,76.60389,118784,100352,2048,16384
astar,DIRECT,32,LRU,WRITE_ALLOCATE,WRITE_BACK,452135,49333,90.16228,29696,25088,512,4096
astar,DIRECT,64,LRU,WRITE_ALLOCATE,WRITE_BACK,475050,26418,94.73187,14848,12544,256,2048
astar,FULLY,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384828,116640,76.74029,174080,129024,28672,16384
astar,FULLY,32,LRU,WRITE_ALLOCATE,WRITE_BACK,453357,48111,90.40597,41472,31232,6144,4096
astar,FULLY,64,LRU,WRITE_ALLOCATE,WRITE_BACK,476560,24908,95.03298,20224,15360,2816,2048
astar,WAY_4,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384731,116737,76.72095,124928,104448,4096,16384
astar,WAY_4,32,LRU,WRITE_ALLOCATE,WRITE_BACK,453177,48291,90.37007,31232,26112,1024,4096
astar,WAY_4,64,LRU,WRITE_ALLOCATE,WRITE_BACK,476345,25123,94.99011,15616,13056,512,2048
astar,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384702,116766,76.71516,129024,106496,6144,16384
astar,WAY_8,32,LRU,WRITE_ALLOCATE,WRITE_BACK,453189,48279,90.37247,32256,26624,1536,4096
astar,WAY_8,64,LRU,WRITE_ALLOCATE,WRITE_BACK,476394,25074,94.99988,16128,13312,768,2048
bzip2,DIRECT,8,LRU,WRITE_ALLOCATE,WRITE_BACK,533289,11225,97.93853,118784,100352,2048,16384
bzip2,DIRECT,32,LRU,WRITE_ALLOCATE,WRITE_BACK,537266,7248,98.66890,29696,25088,512,4096
bzip2,DIRECT,64,LRU,WRITE_ALLOCATE,WRITE_BACK,535858,8656,98.41033,14848,12544,256,2048
bzip2,FULLY,8,LRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,174080,129024,28672,16384
bzip2,FULLY,32,LRU,WRITE_ALLOCATE,WRITE_BACK,542846,1668,99.69367,41472,31232,6144,4096
bzip2,FULLY,64,LRU,WRITE_ALLOCATE,WRITE_BACK,543673,841,99.84555,20224,15360,2816,2048
bzip2,WAY_4,8,LRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,124928,104448,4096,16384
bzip2,WAY_4,32,LRU,WRITE_ALLOCATE,WRITE_BACK,542846,1668,99.69367,31232,26112,1024,4096
bzip2,WAY_4,64,LRU,WRITE_ALLOCATE,WRITE_BACK,543673,841,99.84555,15616,13056,512,2048
bzip2,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,129024,106496,6144,16384
bzip2,WAY_8,32,LRU,WRITE_ALLOCATE,WRITE_BACK,542846,1668,99.69367,32256,26624,1536,4096
bzip2,WAY_8,64,LRU,WRITE_ALLOCATE,WRITE_BACK,543673,841,99.84555,16128,13312,768,2048
mcf,DIRECT,8,LRU,WRITE_ALLOCATE,WRITE_BACK,482596,25104,95.05535,118784,100352,2048,16384
mcf,DIRECT,32,LRU,WRITE_ALLOCATE,WRITE_BACK,496547,11153,97.80323,29696,25088,512,4096
mcf,DIRECT,64,LRU,WRITE_ALLOCATE,WRITE_BACK,500290,7410,98.54048,14848,12544,256,2048
mcf,FULLY,8,LRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,174080,129024,28672,16384
mcf,FULLY,32,LRU,WRITE_ALLOCATE,WRITE_BACK,498437,9263,98.17550,41472,31232,6144,4096
mcf,FULLY,64,LRU,WRITE_ALLOCATE,WRITE_BACK,502198,5502,98.91629,20224,15360,2816,2048
mcf,WAY_4,8,LRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,124928,104448,4096,16384
mcf,WAY_4,32,LRU,WRITE_ALLOCATE,WRITE_BACK,498437,9263,98.17550,31232,26112,1024,4096
mcf,WAY_4,64,LRU,WRITE_ALLOCATE,WRITE_BACK,502198,5502,98.91629,15616,13056,512,2048
mcf,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,129024,106496,6144,16384
mcf,WAY_8,32,LRU,WRITE_ALLOCATE,WRITE_BACK,498437,9263,98.17550,32256,26624,1536,4096
mcf,WAY_8,64,LRU,WRITE_ALLOCATE,WRITE_BACK,502198,5502,98.91629,16128,13312,768,2048
perlbench,DIRECT,8,LRU,WRITE_ALLOCATE,WRITE_BACK,488834,18607,96.33317,118784,100352,2048,16384
perlbench,DIRECT,32,LRU,WRITE_ALLOCATE,WRITE_BACK,495700,11741,97.68623,29696,25088,512,4096
perlbench,DIRECT,64,LRU,WRITE_ALLOCATE,WRITE_BACK,497830,9611,98.10599,14848,12544,256,2048
perlbench,FULLY,8,LRU,WRITE_ALLOCATE,WRITE_BACK,498540,8901,98.24590,174080,129024,28672,16384
perlbench,FULLY,32,LRU,WRITE_ALLOCATE,WRITE_BACK,504091,3350,99.33982,41472,31232,6144,4096
perlbench,FULLY,64,LRU,WRITE_ALLOCATE,WRITE_BACK,505475,1966,99.61257,20224,15360,2816,2048
perlbench,WAY_4,8,LRU,WRITE_ALLOCATE,WRITE_BACK,496931,10510,97.92882,124928,104448,4096,16384
perlbench,WAY_4,32,LRU,WRITE_ALLOCATE,WRITE_BACK,501678,5763,98.86430,31232,26112,1024,4096
perlbench,WAY_4,64,LRU,WRITE_ALLOCATE,WRITE_BACK,503112,4329,99.14690,15616,13056,512,2048
perlbench,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,498357,9084,98.20984,129024,106496,6144,16384
perlbench,WAY_8,32,LRU,WRITE_ALLOCATE,WRITE_BACK,503269,4172,99.17784,32256,26624,1536,4096
perlbench,WAY_8,64,LRU,WRITE_ALLOCATE,WRITE_BACK,504272,3169,99.37549,16128,13312,768,2048
astar,WAY_8,8,RANDOM,WRITE_ALLOCATE,WRITE_BACK,385001,116467,76.77479,122880,106496,0,16384
astar,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384702,116766,76.71516,129024,106496,6144,16384
astar,WAY_8,8,TREELRU,WRITE_ALLOCATE,WRITE_BACK,384880,116588,76.75066,124928,106496,2048,16384
bzip2,WAY_8,8,RANDOM,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,122880,106496,0,16384
bzip2,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,129024,106496,6144,16384
bzip2,WAY_8,8,TREELRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,124928,106496,2048,16384
mcf,WAY_8,8,RANDOM,WRITE_ALLOCATE,WRITE_BACK,484379,23321,95.40654,122880,106496,0,16384
mcf,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,129024,106496,6144,16384
mcf,WAY_8,8,TREELRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,124928,106496,2048,16384
perlbench,WAY_8,8,RANDOM,WRITE_ALLOCATE,WRITE_BACK,498356,9085,98.20964,122880,106496,0,16384
perlbench,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,498357,9084,98.20984,129024,106496,6144,16384
perlbench,WAY_8,8,TREELRU,WRITE_ALLOCATE,WRITE_BACK,498367,9074,98.21181,124928,106496,2048,16384
astar,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,384702,116766,76.71516,129024,106496,6144,16384
astar,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_THROUGH,384702,116766,76.71516,110592,104448,6144,0
astar,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_BACK,328467,173001,65.50109,129024,106496,6144,16384
astar,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_THROUGH,328467,173001,65.50109,110592,104448,6144,0
bzip2,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,537887,6627,98.78295,129024,106496,6144,16384
bzip2,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_THROUGH,537887,6627,98.78295,110592,104448,6144,0
bzip2,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_BACK,497305,47209,91.33007,129024,106496,6144,16384
bzip2,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_THROUGH,497305,47209,91.33007,110592,104448,6144,0
mcf,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,484468,23232,95.42407,129024,106496,6144,16384
mcf,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_THROUGH,484468,23232,95.42407,110592,104448,6144,0
mcf,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_BACK,451107,56593,88.85306,129024,106496,6144,16384
mcf,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_THROUGH,451107,56593,88.85306,110592,104448,6144,0
perlbench,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_BACK,498357,9084,98.20984,129024,106496,6144,16384
perlbench,WAY_8,8,LRU,WRITE_ALLOCATE,WRITE_THROUGH,498357,9084,98.20984,110592,104448,6144,0
perlbench,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_BACK,483777,23664,95.33660,129024,106496,6144,16384
perlbench,WAY_8,8,LRU,WRITE_NOT_ALLOCATE,WRITE_THROUGH,483777,23664,95.33660,110592,104448,6144,0
